-0.7,-0.7,0.7226
-0.68364,-0.65275,0.7226
-0.66791,-0.60529,0.7226
-0.63825,-0.56503,0.7226
-0.60329,-0.52929,0.7226
-0.56865,-0.49323,0.7226
-0.5343,-0.45691,0.7226
-0.49989,-0.42062,0.7226
-0.4555,-0.39762,0.7226
-0.41873,-0.36374,0.7226
-0.37475,-0.33995,0.7226
-0.33042,-0.31682,0.7226
-0.29577,-0.28078,0.7226
-0.25096,-0.25859,0.7226
-0.21305,-0.22599,0.7226
-0.18549,-0.18427,0.7226
-0.14691,-0.15247,0.7226
-0.10834,-0.12065,0.7226
-0.068566,-0.090351,0.7226
-0.035984,-0.052424,0.7226
0.0033365,-0.021539,0.7226
0.035387,0.016838,0.7226
0.075057,0.047273,0.7226
0.10829,0.084633,0.7226
0.14404,0.11958,0.7226
0.17972,0.15461,0.7226
0.22043,0.18364,0.7226
0.25386,0.22082,0.7226
0.28363,0.261,0.7226
0.30855,0.30434,0.7226
0.34082,0.34253,0.7226
0.36618,0.38562,0.7226
0.39794,0.42424,0.7226
0.4301,0.46252,0.7226
0.47327,0.48776,0.7226
0.5125,0.51876,0.7226
0.6,0.6,0.7226
